Symbol,GSM1523727,GSM1523728,GSM1523729,GSM1523744,GSM1523745,GSM1523746,GSM1523747,GSM1523748,GSM1523765,GSM1523768,GSM1523769,GSM1523770,GSM1523771,GSM1523772,GSM1523773,GSM1523774,GSM1523775,GSM1523776,GSM1523777,GSM1523778,GSM1523779,GSM1523780,GSM1523781,GSM1523782,GSM1523783,GSM1523784,GSM1523785,GSM1523786,GSM1523787,GSM1523788,GSM1523789,GSM1523790,GSM1523791,GSM1523792,GSM1523793,GSM1523794,GSM1523795,GSM1523796,GSM1523797,GSM1523798,GSM1523799,GSM1523800,GSM1523801,GSM1523802,GSM1523803,GSM1523804,GSM1523805,GSM1523806,GSM1523807
ADAM23,1.464297891,1.465371251,1.480809689,1.419946671,1.423474312,1.589475036,1.663798809,1.410240412,1.385272026,1.575296998,1.475332975,1.357331276,1.703025222,1.657131791,1.635156989,1.448174357,1.408580422,1.443140149,1.430253386,1.60670042,1.354566336,1.426124215,1.404951811,1.387026191,1.461041331,1.43588841,1.441285849,1.459541798,1.381593704,1.531172514,1.409209609,1.411731958,1.445491552,1.406377196,1.579803586,1.396181583,1.365842104,1.552991509,1.535473228,1.360437632,1.233221173,1.297630429,1.450235486,1.38509047,1.359472513,1.497792125,1.419109583,1.481550813,1.416980147
ADAMTS1,2.036854506,2.678647757,2.671891928,2.295871496,2.490541935,2.62085247,2.168288469,2.761299372,2.715270281,2.687091827,2.754047871,2.280986786,3.01941514,2.97898674,3.50476265,3.397650242,2.344310045,2.457603693,2.273223877,2.713419199,2.282086134,2.451666594,2.394863367,2.613286734,2.66617465,2.999661446,2.718514919,2.849847555,2.129999161,3.383938551,2.55011797,2.82411623,2.401225567,2.423095703,2.666268826,2.731053114,2.509658337,2.895095587,2.273136854,2.939206839,2.204178095,2.335155725,2.323058367,2.357604027,2.562588692,2.669771194,2.866593838,2.751947641,3.025158882
AFF3,1.322163105,1.242715955,1.339326382,1.257712603,1.236731172,1.269008279,1.192839265,1.246424675,1.270585656,1.131230712,1.503682733,1.19587326,1.810194254,1.56868124,2.040737152,2.184399128,1.20655179,1.25901556,1.284090161,1.227127075,1.228899002,1.304483056,1.316008568,1.249383688,2.00561738,1.410708189,1.226243854,1.537853241,1.371017933,1.700720191,1.304483056,1.263746738,1.19879663,1.305328369,1.20112443,1.301516175,1.253173113,1.18591249,1.284139514,2.004549503,1.352890491,1.249460816,1.300317764,1.24551487,1.151136279,1.654681325,1.277701378,1.236699224,1.344663978
AK5,1.205483079,1.177386045,1.171225786,1.251330733,1.2070719,1.201005578,1.202469468,1.262256026,1.27112782,1.25380528,1.218556404,1.197475672,1.326733351,1.200633168,1.272607923,1.316203713,1.184378505,1.202337265,1.212094665,1.217771411,1.22862649,1.327837348,1.235287428,1.306981087,1.246988416,1.22533536,1.313777924,1.161377668,1.255396605,1.272099733,1.166198611,1.220481515,1.150996923,1.25222373,1.414604306,1.301560879,1.193899989,1.200862885,1.709467769,1.203334332,1.266748309,1.158005476,1.248711824,1.404251933,1.204890132,1.29039669,1.253270268,1.176945686,1.223709464
AKAP12,1.738972664,3.543348789,2.371477842,2.012681723,2.21425724,2.44043684,2.012204647,2.529502153,2.074123383,2.836932421,2.684725285,1.978965402,3.130459309,2.929385662,3.203750849,3.36799264,2.157139778,2.051697969,2.231418371,2.550759077,2.185371161,3.051402807,2.003372431,2.193650246,2.447813988,2.364405632,2.51244545,2.543343067,1.699478388,3.016817331,2.516904354,3.617053032,1.966282487,2.230816126,2.126912832,2.353235483,2.13749218,2.835562468,3.049593449,2.545836687,2.136907101,1.822165012,1.929868102,1.927503467,2.035916328,2.351048946,2.611335278,2.291276932,2.506883383
ALPK2,1.314267755,1.400561571,1.110795498,1.332022786,1.306389809,1.212324262,1.190187454,1.141425371,1.320307255,1.760121465,1.500311494,1.577709913,1.33352077,1.171287298,1.90031445,1.600118995,1.187995315,1.153870583,1.308222413,1.411822557,1.134300828,1.862451553,1.327430606,1.439681292,1.388843417,1.263276577,1.205583215,1.179993033,1.16423595,1.659468889,1.450549245,1.954751849,1.580153942,1.192849636,1.160485029,1.549913526,1.259144306,2.088787794,1.155838966,1.511984587,1.17839098,1.214295149,1.254232168,1.301331282,1.2472651,1.211885095,1.442617059,1.26872766,1.329729199
ANGPTL2,2.068704844,2.494577169,2.16623807,2.461819649,2.448025227,2.101306438,1.841561913,2.285056829,2.086479664,2.745187283,2.63201952,2.172658443,2.928258657,2.733162403,2.676759243,2.52574563,2.211620808,2.107554913,2.24891758,2.675479174,2.111181736,2.514596939,1.92015028,2.37454772,2.087670088,2.187037706,2.382838249,2.307223082,1.737042427,2.819264412,2.532876015,2.531273842,2.472740412,2.072381496,2.249792337,2.331595659,2.388986826,3.060957193,2.238929749,2.421487808,2.235944748,2.026461363,2.143341541,2.228189707,2.218863964,2.545141459,2.512131929,2.348801851,2.580124378
ANKRD1,0.958749771,0.943887353,0.923035324,0.893786073,0.888224542,1.164278984,0.897783458,0.907407105,0.888002992,0.9430601,0.905788422,1.032479882,0.921546996,0.906603634,0.870300889,0.883866787,0.926906884,0.919463933,0.983551383,0.894247234,0.934206605,0.97298795,0.988344729,0.970638394,0.926527858,0.851167142,0.990406096,0.930318177,0.976380885,1.088317394,0.881259561,0.889264286,0.93996942,0.89772898,0.904335082,1.045087934,0.869523048,0.864244759,0.947783053,0.945097208,2.33932066,0.939556181,0.902117968,0.942612231,0.94618243,0.901116729,0.922880888,0.865182221,1.054287076
ANTXR1,2.310255527,2.986341,2.668607235,3.023584604,3.084353447,2.708718538,2.828948736,2.615144014,2.71454978,3.34893465,2.969597578,2.665421724,3.33412385,3.204651117,3.199713945,2.840068579,2.625028372,2.44929409,2.941779137,3.157976151,2.528568983,3.184656382,2.281378508,2.903885126,2.641375065,2.751778364,2.965561152,2.745479107,2.372204781,3.258158922,3.262490749,3.245756626,2.910596132,2.599630356,2.597131491,2.999364853,3.069509506,3.566013336,2.530226707,2.880128622,2.520653963,2.284181595,2.497987986,2.554502487,2.654407024,2.998015642,3.195421219,2.729295254,3.028102875
ANXA6,1.868307829,2.16647625,2.133383036,2.041781902,2.683781624,2.279004574,2.149421692,2.258540392,2.20792675,2.6036129,2.446999788,2.152070999,2.816551924,2.532964945,2.686058521,2.391111374,2.083048344,2.2245543,2.618389368,2.471676826,2.299227953,2.484358549,2.212216854,2.442149162,2.484461546,2.399950743,2.270413876,2.369451284,2.656989574,2.657483101,2.582830191,2.384588718,2.220399141,2.370344162,2.273666859,2.46614933,2.432477713,2.79919672,1.948625922,2.714954138,2.312513113,2.304605961,2.257216215,2.106045246,2.14995575,2.427621126,2.412777662,2.29108572,2.37242651
